Timestamp,Latitude,Longitude,Bearing,Altitude,Speed (km/h),Location Accuracy (m),Accelerometer X,Accelerometer Y,Accelerometer Z
2020/01/28 - 17:51:27,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.037323,5.521179,0.79937744
2020/01/28 - 17:51:27,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.6683655,5.8271637,0.79722595
2020/01/28 - 17:51:27,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.5824127,6.11351,0.84846497
2020/01/28 - 17:51:28,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.1220245,6.4831696,0.7670593
2020/01/28 - 17:51:28,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,6.907501,6.408478,0.59443665
2020/01/28 - 17:51:28,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.349472,6.354843,0.80703735
2020/01/28 - 17:51:28,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.614975,6.0924377,0.9607544
2020/01/28 - 17:51:29,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.546509,6.0127106,0.956192
2020/01/28 - 17:51:29,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.6317444,5.9466248,1.0510101
2020/01/28 - 17:51:29,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.760544,5.6452026,0.84510803
2020/01/28 - 17:51:29,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,7.6800995,5.671051,0.9911499
2020/01/28 - 17:51:29,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.06868,5.373932,0.8374481
2020/01/28 - 17:51:29,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.264053,5.204193,0.9889984
2020/01/28 - 17:51:30,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.311935,5.030609,1.0718384
2020/01/28 - 17:51:30,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.358627,5.001877,1.2001648
2020/01/28 - 17:51:30,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.2968445,5.0430603,1.2506866
2020/01/28 - 17:51:30,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.246811,5.153427,1.1594696
2020/01/28 - 17:51:30,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.629883,5.108902,0.93896484
2020/01/28 - 17:51:31,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,8.551117,5.6617126,0.6598053
2020/01/28 - 17:51:31,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.9330597,7.243332,0.42468262
2020/01/28 - 17:51:31,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.0083466,8.400452,0.27529907
2020/01/28 - 17:51:31,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.737564,8.750961,-0.32421875
2020/01/28 - 17:51:32,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.847229,8.88887,-0.3409729
2020/01/28 - 17:51:32,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.9602356,8.755264,-0.34936523
2020/01/28 - 17:51:32,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.0837708,8.948242,-0.13842773
2020/01/28 - 17:51:32,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.657837,8.936508,-0.13412476
2020/01/28 - 17:51:32,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.8031769,8.9379425,-0.1530304
2020/01/28 - 17:51:33,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.9171295,8.902512,-0.069244385
2020/01/28 - 17:51:33,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.182419,8.839066,-0.107543945
2020/01/28 - 17:51:33,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.103409,8.709305,-0.08958435
2020/01/28 - 17:51:33,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.218811,8.763168,-0.07545471
2020/01/28 - 17:51:33,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.658142,8.691589,0.057418823
2020/01/28 - 17:51:34,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.7986755,8.313782,0.5058441
2020/01/28 - 17:51:34,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.2327576,8.098053,0.28367615
2020/01/28 - 17:51:34,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.969452,7.963028,-0.114730835
2020/01/28 - 17:51:34,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,6.093231,7.4779663,0.42277527
2020/01/28 - 17:51:34,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,6.6010437,7.082199,0.11416626
2020/01/28 - 17:51:35,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,6.637192,7.3874664,-0.12478638
2020/01/28 - 17:51:35,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,6.487549,7.1619263,-0.25430298
2020/01/28 - 17:51:35,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.8379974,7.493759,-0.38598633
2020/01/28 - 17:51:35,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.5574036,7.6254425,-0.63905334
2020/01/28 - 17:51:35,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.657486,7.741562,-0.732666
2020/01/28 - 17:51:35,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.800125,8.551285,-0.41160583
2020/01/28 - 17:51:36,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.3524017,9.0442505,-2.3207397
2020/01/28 - 17:51:36,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.2807617,9.043289,0.16133118
2020/01/28 - 17:51:36,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,3.8663788,8.469406,0.99858093
2020/01/28 - 17:51:36,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.4228516,9.022934,3.5476837
2020/01/28 - 17:51:37,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.472412,7.9362183,0.96817017
2020/01/28 - 17:51:37,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,4.033264,8.421753,-0.97592163
2020/01/28 - 17:51:37,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,5.3991394,7.690323,-0.44154358
2020/01/28 - 17:51:37,60.35966028,25.07361247,0.0,35.58245849609375,0.0,52.528,6.0422363,6.5959473,0.84606934
2020/01/28 - 17:51:37,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,6.0422363,6.5959473,0.84606934
